ID,churn,join_time,vip,product,expenditure,call,traffic,state,IMEI
288,0,2014/8/10,0,25101,0.0,0.0,0.0,3.0,
289,0,2014/9/11,0,99112822,31.131,0.0,0.0,1.0,
290,0,2014/7/2,0,25101,0.0,0.0,0.0,3.0,
291,1,2013/3/28,0,99005798,0.0,0.0,0.0,6.0,
292,1,2014/9/23,0,99112822,0.0,0.0,0.0,0.0,
293,0,2014/6/1,0,99114784,56.571,396.22,191.37,1.0,
294,1,2008/6/28,0,99005934,0.0,0.0,0.0,6.0,
295,1,2011/12/9,0,99003578,0.0,0.0,0.0,6.0,
296,0,2014/8/6,0,99114785,73.787,31.36,144.11,1.0,
297,0,2014/8/1,0,25101,21.622,122.76,0.0,1.0,
298,0,2012/12/26,0,99005044,0.0,0.0,0.0,1.0,
299,0,2013/12/30,0,99002138,89.384,0.0,0.0,5.0,
300,0,2014/1/15,0,25206,0.0,0.0,0.0,3.0,
301,0,2013/11/6,0,99002147,98.494,277.55,426.95,0.0,1302700.0
302,0,2014/6/15,0,25101,0.0,0.0,0.0,3.0,
303,0,2013/9/21,0,25128,81.419,104.27,172.5,1.0,
304,0,2013/10/4,0,99112823,4.189,0.0,0.0,7.0,
305,0,2010/3/1,0,3858,36.949,247.01,0.0,0.0,86331202.0
306,0,2012/9/11,0,99104645,36.748,282.83,73.14,1.0,
307,0,2014/9/4,0,99005934,54.959,357.42,25.6,0.0,86231402.0
308,1,2013/7/1,0,99106763,0.0,0.0,0.0,6.0,
309,0,2014/2/13,0,99002147,95.17,229.37,367.42,0.0,1315300.0
310,1,2013/9/18,0,99005935,0.0,0.0,0.0,6.0,
311,1,2014/4/7,0,99112822,0.0,0.0,0.0,4.0,
312,0,2013/12/25,0,99002147,62.911,182.1,166.74,0.0,86518002.0
313,0,2014/8/18,0,25101,9.434,0.0,0.0,1.0,
314,0,2014/7/2,0,99112822,31.131,19.67,244.37,1.0,
315,0,2014/6/23,0,25101,0.0,0.0,0.0,3.0,
316,0,2014/8/13,0,25101,46.15,387.27,65.44,1.0,
317,0,2014/9/2,0,25206,45.2,1165.7,496.31,1.0,
318,0,2014/7/26,0,25101,0.0,0.0,0.0,3.0,
319,0,2009/7/9,0,99003576,99.898,703.84,192.22,0.0,35655505.0
320,0,2008/3/21,0,99003576,178.131,1303.0,326.85,0.0,86576701.0
321,0,2012/12/22,0,99005935,60.411,3.32,0.0,0.0,
322,1,2014/8/9,0,99112822,0.0,0.0,0.0,0.0,
323,1,2014/8/23,0,99112822,0.0,0.0,0.0,0.0,
324,0,2014/7/1,0,25101,0.0,0.0,0.0,3.0,
325,0,2014/7/29,0,99003576,66.728,693.59,133.32,,35728705.0
326,0,2014/9/15,0,25101,32.244,304.1,95.51,1.0,
327,0,2014/10/13,0,99005799,4.717,0.0,0.0,0.0,
328,0,2014/5/4,0,99112822,0.0,4.86,0.0,3.0,
329,0,2014/8/1,0,99112822,21.887,0.37,196.16,1.0,
330,0,2014/6/17,0,99003576,0.0,0.0,0.0,5.0,
331,0,2014/8/23,0,25101,9.434,0.0,0.0,1.0,
332,0,2013/8/28,0,99005935,94.572,417.88,172.17,0.0,86085902.0
333,1,2013/8/18,0,99106763,0.0,0.0,0.0,6.0,
334,0,2014/10/6,0,99003576,93.69,369.86,148.34,0.0,
335,0,2014/7/3,0,25101,0.0,0.0,0.0,7.0,
336,1,2014/9/1,0,99114782,0.0,0.0,0.0,0.0,
337,0,2014/1/10,0,99003576,51.533,98.68,87.11,0.0,
338,0,2014/4/21,0,99005799,4.717,0.0,6.66,0.0,
339,0,2014/8/28,0,99005935,63.076,63.75,65.43,0.0,
340,1,2014/8/8,0,99114783,0.0,0.0,0.0,0.0,
341,1,2014/8/11,0,99112822,0.0,0.0,0.0,0.0,
342,0,2014/10/2,0,99106763,28.312,155.6,141.83,1.0,
343,0,2014/1/18,0,99114784,41.161,406.64,226.45,1.0,
344,1,2010/4/20,0,99003576,0.0,0.0,0.0,6.0,
345,0,2013/12/26,0,99002138,0.0,0.0,0.0,5.0,
346,1,2014/8/23,0,99114783,0.0,0.0,0.0,0.0,
347,1,2010/6/25,0,99005046,0.0,0.0,0.0,6.0,
348,0,2014/2/23,0,99114784,4.189,0.0,0.0,7.0,
349,1,2013/6/28,0,99005979,0.0,0.0,0.0,6.0,
350,0,2013/12/23,0,99003576,87.822,0.0,0.0,5.0,
351,0,2014/7/16,0,25101,16.831,140.15,0.03,1.0,
352,1,2014/6/5,0,25101,0.0,0.0,0.0,4.0,
353,0,2012/8/28,0,99005935,0.0,0.0,0.0,1.0,
354,1,2012/10/21,0,40000001,0.0,0.0,0.0,6.0,
355,0,2011/7/9,0,99005884,0.0,0.0,0.0,1.0,
356,0,2013/12/6,0,88115262,0.0,0.0,0.0,7.0,
357,1,2012/9/23,0,40000001,0.0,0.0,0.0,6.0,
358,0,2014/1/21,0,99003576,60.604,15.87,53.75,0.0,86267502.0
359,0,2013/12/17,0,99002158,75.472,0.0,30.13,0.0,
360,0,2010/5/24,0,99002143,0.0,0.0,0.0,5.0,
361,0,2014/8/5,0,25101,0.0,0.0,0.0,3.0,
362,1,2013/9/16,0,99112822,0.0,0.0,0.0,0.0,
363,0,2009/12/12,0,3740,23.16,397.1,0.0,0.0,
364,1,2013/8/19,0,99002147,0.0,0.0,0.0,6.0,
365,0,2014/9/11,0,99005934,39.905,154.94,32.74,0.0,35398406.0
366,1,2013/7/19,0,99106763,0.0,0.0,0.0,0.0,
367,0,2014/7/19,0,25101,0.0,0.0,0.0,7.0,
368,0,2014/8/7,0,99005799,4.717,0.0,7.67,0.0,
369,0,2014/7/3,0,99114784,0.0,0.0,0.0,7.0,
370,0,2013/9/3,0,99003576,92.256,482.57,3.29,0.0,
371,0,2014/4/21,0,99005799,4.717,0.0,2.63,0.0,
372,1,2012/7/14,0,99002138,0.0,0.0,0.0,6.0,
373,0,2014/8/18,0,25101,9.434,0.0,0.0,1.0,
374,1,2013/5/7,0,99106763,0.0,0.0,0.0,6.0,
375,0,2013/12/22,0,99112823,67.297,169.51,1685.26,1.0,
376,0,2014/5/13,0,99002138,80.446,162.91,635.81,0.0,86415002.0
377,0,2014/9/9,0,99112822,0.0,0.0,0.19,3.0,
378,0,2014/9/7,0,25101,9.434,0.82,0.0,1.0,
379,0,2014/7/22,0,99116022,52.072,197.78,229.86,1.0,
380,1,2012/8/29,0,99003577,0.0,0.0,0.0,6.0,
381,0,2014/2/21,0,99114784,4.189,0.0,0.0,7.0,
382,0,2014/7/6,0,25101,0.0,0.0,0.0,3.0,
383,0,2014/5/23,0,99112822,31.254,0.0,336.45,1.0,
384,0,2014/7/20,0,99112822,0.0,0.0,0.0,3.0,
385,0,2013/10/17,0,3903,148.453,573.04,181.77,0.0,
386,1,2014/8/27,0,99112822,0.0,0.0,0.0,0.0,
387,0,2014/7/1,0,99005934,177.889,975.39,185.96,0.0,
388,0,2014/10/6,0,99003576,0.0,0.0,0.0,0.0,
389,1,2014/2/1,0,99114784,0.0,0.0,0.0,6.0,
390,1,2012/10/26,0,99104723,0.0,0.0,0.0,6.0,
391,0,2014/6/20,0,99114784,0.0,0.0,0.0,7.0,
392,0,2014/7/24,0,25101,10.094,73.5,0.0,1.0,
393,0,2014/6/6,0,99003576,60.375,163.6,216.69,0.0,86471002.0
394,0,2014/9/5,0,99003576,53.35,0.0,0.0,0.0,
395,0,2011/5/13,0,99005934,56.613,401.49,15.94,0.0,1254900.0
396,0,2014/6/24,0,25101,0.0,0.0,0.0,7.0,
397,1,2013/6/8,0,99005934,0.0,0.0,0.0,,
398,0,2014/7/3,0,99002147,0.0,0.0,0.0,5.0,
399,1,2013/7/9,0,99106763,0.0,0.0,0.0,6.0,
